text,date,geo,hashtags,tweet_id,mentions,permalink,replies,retweets,replies_to,mentioned_urls
i’m not familiar with the song. please tell. me the title so i can read the words and appreciate it.,2020-02-24 21:15:46+00:00,,,1232051516225261574,,https://twitter.com/simplylorilee/status/1232051516225261574,1,0,Solmemes1,
like one isn’t bad enough. they piggyback.,2020-02-24 00:20:16+00:00,,,1231735558981988358,,https://twitter.com/simplylorilee/status/1231735558981988358,0,0,senatorshoshana,
i was a banker before govt took over student lending. we knew this would come. the govt could amortize student loans for longer periods of time and lower interest rates so that students could afford the payments. govt destroyed student lending on purpose. they wanted a crisis.,2020-02-23 15:59:04+00:00,,,1231609427633098752,,https://twitter.com/simplylorilee/status/1231609427633098752,0,0,willchamberlain,
"and theft through fraud as with your brother/husband, although that’s still greed on your part. we gave you everything, but you stole more. shame on you and yours.",2020-02-23 15:51:46+00:00,,,1231607590574002177,,https://twitter.com/simplylorilee/status/1231607590574002177,0,0,IlhanMN,
,2020-02-23 15:45:12+00:00,,,1231605936533495811,,https://twitter.com/simplylorilee/status/1231605936533495811,0,0,ThatEricAlper,
biden’s behavior is absolutely typical of a person with alzheimer’s. my mom was the same way and they are worse in the evenings. it’s called “sundowners.”,2020-02-22 21:32:53+00:00,,,1231331048614703104,,https://twitter.com/simplylorilee/status/1231331048614703104,0,0,Heminator,
"i too have a chronic, painful, and incurable disease. it has never excused me from anything. i’ve raised 5 kids and am helping with 11 gkids. cavuto is a big boy and if he throws punches he deserves to take one back. he’s not a victim.",2020-02-22 03:20:14+00:00,,,1231056075614494720,,https://twitter.com/simplylorilee/status/1231056075614494720,0,0,JaniceDean,
he certainly couldn’t make anything worse.,2020-02-21 22:10:58+00:00,,,1230978244356313088,,https://twitter.com/simplylorilee/status/1230978244356313088,0,0,CarpeDonktum,
" matthew 6:22-23 “blessed are you when people hate you...and insult you and reject your name as evil because of the son of man. rejoice in that day and leap for joy, because great is your reward in heaven. for their fathers treated the prophets in the same way.”",2020-02-21 22:06:32+00:00,,,1230977129661304832,@RichardGrenell,https://twitter.com/simplylorilee/status/1230977129661304832,0,0,dbongino,
“sow the wind...reap the whirlwind.”,2020-02-21 21:54:01+00:00,,,1230973979600527360,,https://twitter.com/simplylorilee/status/1230973979600527360,0,0,Cernovich,
life used to have purpose. i had children because i wanted to raise up people who would honor and glorify god and be a testimony to him and his goodness by living lives that contributed good to this world. they are now doing the same.,2020-02-21 21:26:02+00:00,,,1230966934558199808,,https://twitter.com/simplylorilee/status/1230966934558199808,0,0,StefanMolyneux,
putin is obviously aiding adam schiff to discredit the 2020 election so that potus has to work with one hand tied behind his back. democrats are the ones benefitting from russia. schiff is the russian operative.,2020-02-21 19:12:10+00:00,,,1230933245493207041,,https://twitter.com/simplylorilee/status/1230933245493207041,0,0,dbongino,
i hope she uses it to take the poor kid out of whatever school he goes to.,2020-02-21 18:43:11+00:00,,,1230925953347596288,,https://twitter.com/simplylorilee/status/1230925953347596288,0,0,dbongino,
schools should also have “to go” containers for any leftovers for kids most at risk of not eating on weekends. they throw a lot of food out.,2020-02-21 13:28:57+00:00,,,1230846874833313796,,https://twitter.com/simplylorilee/status/1230846874833313796,1,0,JFairSalon,
they are demanding that we lie. we can’t lie.,2020-02-21 13:26:12+00:00,,,1230846181867167744,,https://twitter.com/simplylorilee/status/1230846181867167744,0,0,conservmillen,
    ,2020-02-21 13:22:17+00:00,,,1230845197212409857,@realDonaldTrump @DonaldJTrumpJr @EricTrump @LaraLeaTrump @kimguilfoyle,https://twitter.com/simplylorilee/status/1230845197212409857,0,0,Solmemes1,https://twitter.com/Solmemes1/status/1230740219667734529
make ric permanent.,2020-02-21 13:20:31+00:00,,,1230844752557477889,,https://twitter.com/simplylorilee/status/1230844752557477889,0,0,realDonaldTrump,
" i’m sincere when i ask how you can judge potus so harshly for past sins when your own father left his disabled wife and children to marry a young heiress. john mccain was also known to be brash, salty, and temperamental. humans are a combination of good and bad.",2020-02-21 04:13:38+00:00,,,1230707122779770881,@MeghanMcCain,https://twitter.com/simplylorilee/status/1230707122779770881,0,0,,
ominous.,2020-02-21 03:37:49+00:00,,,1230698109044281346,,https://twitter.com/simplylorilee/status/1230698109044281346,0,0,AOC,https://twitter.com/AOC/status/1230696676471562242
,2020-02-21 03:36:17+00:00,,,1230697726003695618,,https://twitter.com/simplylorilee/status/1230697726003695618,0,0,,
this is insulting.,2020-02-21 03:35:17+00:00,,,1230697471199727616,,https://twitter.com/simplylorilee/status/1230697471199727616,1,1,BreitbartNews,https://twitter.com/BreitbartNews/status/1230655521469992962
 ambassador grenell is volunteering to stand on the front line of a very dangerous spiritual battle. may he always be dressed in the armor of god and may the warrior angels of heaven be a flaming circle around him and his husband.,2020-02-21 02:44:55+00:00,,,1230684797082775554,@RichardGrenell,https://twitter.com/simplylorilee/status/1230684797082775554,0,0,KurtSchlichter,
may god have ric’s back and surround him with warrior angels.,2020-02-21 02:41:10+00:00,,,1230683852776935424,,https://twitter.com/simplylorilee/status/1230683852776935424,0,0,RepLeeZeldin,
why do politicians like joe biden appeal to the illegal immigrant vote? because they know that they are voting!,2020-02-21 02:39:20+00:00,,,1230683393131732992,,https://twitter.com/simplylorilee/status/1230683393131732992,0,0,robbystarbuck,
"take your children out of those situations. i thank god that parents in the us can still take their children out of public school.  is right that public school is the most violent, dangerous place most people will ever face.",2020-02-21 02:37:02+00:00,,,1230682815907422213,@michaelmalice,https://twitter.com/simplylorilee/status/1230682815907422213,0,1,JedediahBila,
"excellent, dana. i’ve been waiting for someone with the gift of speaking/teaching/exhortation to say exactly that. i will buy your book as i feel that it will help me to grow in grace. thank you.",2020-02-21 02:30:24+00:00,,,1230681143747522560,,https://twitter.com/simplylorilee/status/1230681143747522560,0,0,DLoesch,
they were already rewarded with taxpayer money for years.,2020-02-21 01:44:23+00:00,,,1230669565249626113,,https://twitter.com/simplylorilee/status/1230669565249626113,0,0,ChrisLoesch,
why do parents leave their children in a school that allows this? take him out of that situation.,2020-02-21 01:43:09+00:00,,,1230669253084356608,,https://twitter.com/simplylorilee/status/1230669253084356608,1,0,StefanMolyneux,
take the kid out of the damn school. i would never allow my child to stay in that situation.,2020-02-21 01:41:25+00:00,,,1230668816822263815,,https://twitter.com/simplylorilee/status/1230668816822263815,0,0,newscomauHQ,
why does comey find his crimes so funny? it’s like he’s daring ag barr to charge him.,2020-02-20 22:23:08+00:00,,,1230618918177382401,,https://twitter.com/simplylorilee/status/1230618918177382401,0,0,JimHansonDC,
 i have been on the phone with your company off and on for 2 wks and i’ve been hung up on after being on hold for over an hour just today. yours service sucks. wth?,2020-02-20 18:18:35+00:00,,,1230557375259525124,@PayPal,https://twitter.com/simplylorilee/status/1230557375259525124,1,0,,
" i truly don’t understand, sir. we watched gov’t employees lie to congress and they aren’t being charged for it, yet, roger stone will go to prison. would ag barr explain how the law works? it’s not like i was taught.",2020-02-20 17:58:16+00:00,,,1230552262004682754,@realDonaldTrump,https://twitter.com/simplylorilee/status/1230552262004682754,0,0,,
buttigieg is frightening because he speaks with “ authority” concerning god and the bible even though he’s spouting lies. if pete believed the bible is gods authoritative word than he wouldn’t be so cocky about rebelling against it.,2020-02-20 16:53:17+00:00,,,1230535906836303878,,https://twitter.com/simplylorilee/status/1230535906836303878,0,0,JesseKellyDC,
cold.,2020-02-20 12:24:52+00:00,,,1230468360854474755,,https://twitter.com/simplylorilee/status/1230468360854474755,0,0,NathanBrandWA,
do they hate ambassador grenell just because he has been so effective in his duties? i’ve never heard a bad thing about him and ive been following his career for yrs because i admire him as a person.,2020-02-20 12:18:18+00:00,,,1230466707443134465,,https://twitter.com/simplylorilee/status/1230466707443134465,0,0,hughhewitt,
,2020-02-20 03:19:55+00:00,,,1230331217456791552,@Solmemes1,https://twitter.com/simplylorilee/status/1230331217456791552,0,0,hughhewitt,https://twitter.com/hughhewitt/status/1230330866091511810
i caught that too.,2020-02-20 02:30:52+00:00,,,1230318874257698818,,https://twitter.com/simplylorilee/status/1230318874257698818,0,0,DLoesch,
rudy will be surprised to hear that.,2020-02-20 02:23:38+00:00,,,1230317054512762880,,https://twitter.com/simplylorilee/status/1230317054512762880,0,1,ChuckRossDC,
